label,bankname,CERT
1,ERGO BANK,10004
1,WOODFORD STATE BANK,10011
2,PORTAGE COUNTY BANK,10012
1,SECURITY BANK,10015
1,NATIONAL EXCHANGE BANK&TRUST,10044
2,FIRST SOUTHERN BANK,10055
2,BANK OF HANCOCK COUNTY,10057
1,ISABELLA BANK,1005
2,PLANTERS&CITIZENS BANK,10072
2,APEX BANKING CO OF GEORGIA,10074
2,PEOPLES STATE BANK OF COLFAX,10075
2,FARMERS STATE BANK OF EMDEN,10077
1,BANK MICHIGAN,1008
2,NAPOLEON STATE BANK,10101
2,OHNWARD BANK&TRUST,10111
1,LEIGHTON STATE BANK,10118
2,AMERICAN TRUST&SAVINGS BANK,10120
2,LIBERTY TRUST&SAVINGS BANK,10121
2,FARMERS SAVINGS BANK&TRUST,10122
2,FIRST TRUST&SAVINGS BANK,10123
2,CITIZENS SAVINGS BANK,10125
2,SUCCESS BANK,10127
2,EXCHANGE STATE BANK,10132
2,COMMERCIAL BANK OF GRAYSON,10137
1,HART COUNTY BANK&TRUST CO,10145
2,CHOICEONE BANK,1014
2,SHELBY STATE BANK,10157
1,FIRST STATE BANK&TRUST,10159
1,STEARNS BANK HOLDINGFORD NA,10160
2,FIRST STATE BANK MINNESOTA,10162
1,SECURITY STB OF MARINE,10163
2,FARMERS&MERCHANTS STB PIERZ,10165
2,CITIZENS STB OF ROSEAU,10167
2,FIRST FARMERS&MERCHANTS BANK,10168
1,SHERBURNE STATE BANK,10169
1,FARMERS STB OF UNDERWOOD,10174
2,SECURITY STB OF HIBBING,10175
1,FINANCIAL SECURITY BANK,10176
2,PRODUCE STATE BANK,10178
1,ELYSIAN BANK,10185
2,NORTHERN STB OF GONVICK,10187
1,PRINSBANK,10191
2,PINE RIVER STATE BANK,10194
1,HOMETOWN COMMUNITY BANK,10197
2,STATE BANK OF JEFFERS,10200
1,LOWRY STATE BANK,10202
1,COMMERCE BANK,10212
2,VERMILLION STATE BANK,10214
2,CITIZENS BANK&TRUST CO,10218
2,CLARE BANK NATIONAL ASSN,1022
2,GOOSE RIVER BANK,10236
2,FIRST STATE BANK OF GOLVA,10243
1,FIRST INTERNATIONAL B&T,10248
2,UNITED COMMUNITY BANK OF ND,10249
2,PEOPLES STATE BANK OF VELVA,10250
2,FIRST SECURITY BANK WEST,10253
2,OLD FORT BANKING CO,10255
2,CITIZENS BANK CO,10266
1,FARMERS BANK&TRUST CO,1027
1,FARMERS&MERCHANTS BANK,10280
2,FBT BANK&MORTGAGE,1028
2,GATES BANKING&TRUST CO,10306
1,BUILTWELL BANK,10307
1,BANK OF FAYETTE COUNTY,10308
2,BANK OF HALLS,10315
2,CITIZENS B&T GRAINGER CNTY,10317
1,CITIZENS SAVINGS B&T CO,10319
1,CITIZENS STB OF LULING,10327
2,COMMERCIAL STATE BANK,10330
1,OAKWOOD BANK,10334
1,SCHERTZ BANK&TRUST,10344
2,PEOPLES STATE BANK,10345
2,CROWELL STATE BANK,10352
1,CITIZENS&FARMERS BANK,10363
2,BANNER BANKS,10374
1,BANK OF NEW GLARUS,10378
1,OOSTBURG STATE BANK,10380
1,FARMERS&MERCHANTS BANK&TRUST,10382
1,STATE BANK FINANCIAL,10383
1,WAUMANDEE STATE BANK,10384
2,FARMERS STATE BANK OF BRUSH,10407
1,MIDLAND STATES BANK,1040
2,STATE BANK OF GRAYMONT,10434
2,FIRST STATE BANK OF OLMSTED,10437
2,RARITAN STATE BANK,10438
2,VILLAGE BANK,10439
2,FREDERICK COMMUNITY BANK THE,10446
2,FARMERS STATE BANK&TRUST CO,10458
2,TOWN&COUNTRY BANK MIDWEST,10460
1,MIDDLETOWN STATE BANK,10463
2,FEDERATED BANK,10464
2,GIFFORD STATE BANK,10467
2,FARMERS&MERCHANTS BK HUTSONV,10469
2,CAMP GROVE STATE BANK,10471
2,IPAVA STATE BANK,10473
2,CITIZENS STATE BANK,10474
2,BANK&TRUST CO,1047
2,ELGIN STATE BANK,10489
2,FARMERS&MERCHANTS SB,10492
2,MOUNT VERNON BANK&TRUST CO,10494
1,IOWA STATE BANK,10497
2,FIRST NB OF STEELEVILLE,1049
2,FARMERS SAVINGS BANK,10500
2,BANKWEST OF KANSAS,10502
2,FIRST STATE BANK,10503
2,KANSAS STATE BANK,10505
2,CITIZENS BANK,10520
2,BANK OF COMMERCE&TRUST CO,10523
2,EXCHANGE B&T NATCHITOCHES LA,10528
1,CITIZENS PROGRESSIVE BANK,10531
2,CLB THE COMMUNITY BANK,10532
1,WINNSBORO STATE B&T CO,10533
2,ARCADIAN BANK,10561
2,UNITED MINNESOTA BANK,10567
2,COMMUNITY DEVELOPMENT BK FSB,10568
2,FARMERS&MERCHANTS STB ALPHA,10571
2,FIRST SOUTHEAST BANK,10576
1,MIDWEST BANKCENTRE,1058
1,BANK OF FRANKLIN,10594
2,COMMUNITY FIRST BANK,10595
1,BANK OF ORRICK,10597
2,BANK OF CAVE CITY,105
1,UNICO BANK,10608
1,WOOD&HUSTON BANK,1060
2,BTC BANK,10618
1,HAWTHORN BANK,10619
2,STATE BANK OF MISSOURI,10623
2,BANK OF NEW CAMBRIA,10626
2,PREFERRED BANK,10628
1,PINNACLE BANK,10634
2,BANK OF STEINAUER,10635
1,FIRST CENTRAL BANK,10637
2,FLATWATER BANK,10639
1,RIVERSTONE BANK,10641
1,DUNDEE BANK,10643
2,STATE BANK OF ODELL,10644
2,AMERICAN EXCHANGE BANK,10647
2,ANDOVER BANK,10663
1,MABREY BANK,10667
2,EXCHANGE BANK,10672
1,BANK OF HYDRO,10674
1,JONESTOWN B&T JONESTOWN PA,10677
1,MUNCY BANK&TRUST CO,10678
1,MIFFLINBURG BANK&TRUST CO,10685
1,CASS COMMERCIAL BANK,1068
1,SIMPLYBANK,10693
2,FIRST STATE BANK,10704
2,CROSSROADS BANK,10709
2,PEOPLES STB OF HALLETTSVILLE,10719
2,LINDELL BANK&TRUST CO,1073
2,INDEPENDENCE STATE BANK,10741
2,ILLINI STATE BANK,10788
2,COMMUNITY BANK,10791
2,FIRST STB OF CAMPBELL HILL,10799
2,MERCHANTS&PLANTERS BANK,107
2,DEWEY BANK,10803
2,DU QUOIN STATE BANK,10804
2,FIRST STATE BANK OF VAN ORIN,10809
1,GRAND RIVERS COMMUNITY BANK,10816
2,STATE BANK OF INDUSTRY,10820
2,CLAY COUNTY STATE BANK,10821
2,PETEFISH SKILES&CO,10829
2,FIRST T&SB OF WATSEKA IL,10831
2,CAMPUS STATE BANK,10840
2,CITIZENS BANK OF CHATSWORTH,10843
2,BUENA VISTA NATIONAL BANK,10844
2,CLAY CITY BANKING CO,10845
2,TOMPKINS STATE BANK,10849
1,WEST CENTRAL BANK,10853
2,STATE BANK OF BEMENT,10855
2,ANDERSON STATE BANK,10858
2,MURPHY-WALL STATE B&T CO,10860
1,BANK OF VERSAILLES,1086
2,FIRST STB OF BEECHER CITY,10871
1,CHESTERFIELD STATE BANK,10872
1,WATERMAN BANK,10878
2,BANK OF BLUFFS,10883
2,LEGENCE BANK,10886
1,CENTRAL STATE BANK,10903
2,BALDWIN STATE BANK,10906
2,GUARANTY STATE BANK&TRUST CO,10907
1,UPPER PENINSULA STATE BANK,1090
2,GRANT COUNTY BANK,10918
2,STATE BANK OF BERN,10919
2,FIDELITY STATE BANK&TRUST CO,10920
2,MINERS STATE BANK,10928
1,BAYBANK,1092
1,NORTHVIEW BANK,10956
1,UNITED PRAIRIE BANK,10958
2,CENTRAL SAVINGS BANK,1095
2,JANESVILLE STATE BANK,10960
2,GRAND RAPIDS STATE BANK,10962
2,LAKE REGION BANK,10965
2,F&M COMMUNITY BANK NA,10967
1,RANDALL STATE BANK,10969
1,PRIME SECURITY BANK,10971
1,ALLIANCE BANK,10973
2,CENTER NATIONAL BANK,10976
1,ESB BANK,10980
2,SECURITY STATE BANK OF OKLEE,10982
1,SECURITY BANK MINNESOTA,10984
2,CAMBRIDGE STATE BANK,10987
1,STEARNS BANK NATIONAL ASSN,10988
2,LAKE CENTRAL BANK,10989
2,ROOT RIVER STATE BANK,1098
1,FIRST STATE BANK OF BIGFORK,10991
2,BONANZA VALLEY STATE BANK,10993
2,FM BANK,10998
1,HORATIO STATE BANK,109
2,ST CLAIR COUNTY STATE BANK,11002
1,LIMEBANK,11003
2,PEOPLES STB OF PLAINVIEW,1100
2,FIRST STATE BANK OF SHELBY,11013
1,PEAPACK-GLADSTONE BANK,11035
1,FIRST INTERSTATE BANK,1105
0,FIRST-CITIZENS BANK&TRUST CO,11063
1,BANK OZK,110
1,SOMERSET TRUST CO,11112
2,HAMLIN BANK&TRUST CO,11113
1,S&T BANK,11124
2,FARMERS STATE BANK OF CANTON,11133
1,TEXAS CHAMPION BANK,11159
2,FIRST STATE BANK,11175
1,TRANSPECOS BANKS SSB,11178
1,AMERICAN BANK&TRUST,1117
2,FIRST STB OF BROWNSBORO,11181
2,CITIZENS STB OF ARLINGTON,1118
2,FIRST COMMUNITY BANK,11225
2,FIRST CITIZENS STATE BANK,11228
2,FIRST FIDELITY BANK,1122
1,BANK OF MILTON,11232
2,BONDUEL STATE BANK,11235
1,HORICON BANK,11236
1,CENTENNIAL BANK,11241
2,MCGEHEE BANK,11242
2,BANK OF SALEM,11243
2,FIRST NB OF IZARD COUNTY,11252
1,GUNNISON BANK&TRUST CO,11259
2,MERCHANTS STATE BANK,1125
2,MCCLAVE STATE BANK,11261
1,CITIZENS BANK OF SWAINSBORO,11295
1,FARMERS STB OF ALTO PASS ILL,11299
2,OAKDALE STATE BANK,11300
